GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-processing-engine,com.company.order.service,PricingService,0,61,0,8,0,17,0,8,0,4
order-processing-engine,com.company.order.service,ComplianceService,5,84,2,12,3,20,2,11,0,6
order-processing-engine,com.company.order.service,OrderServiceImpl,6,151,5,21,2,33,5,14,0,6
order-processing-engine,com.company.order.model,Order,3,30,0,0,1,10,1,5,1,5
order-processing-engine,com.company.order.model,OrderStatus,0,15,0,0,0,3,0,1,0,1
order-processing-engine,com.company.order.model,Customer,0,9,0,0,0,4,0,2,0,2
order-processing-engine,com.company.order.model,OrderItem,0,15,0,0,0,6,0,3,0,3
order-processing-engine,com.company.order.exception,OrderNotFoundException,0,4,0,0,0,2,0,1,0,1
order-processing-engine,com.company.order.exception,InvalidOrderException,0,4,0,0,0,2,0,1,0,1
order-processing-engine,com.company.order.exception,ComplianceViolationException,12,4,0,0,6,2,3,1,3,1
